,United Kingdom,United States,European Union,Australia,South Korea,Japan
0,0.07306976744186046,0.17,0.01,7.935563226600008e-05,0.04,0.01
1,0.14613953488372092,0.18,0.02,0.011423243264690712,0.04,0.01
2,0.2192093023255814,0.18,0.04,0.02740943538467643,0.04,0.01
3,0.29227906976744183,0.3,0.07,0.06943617823275007,0.04,0.02
4,0.36534883720930234,0.3,0.1,0.0991945403325001,0.17,0.02
5,0.4384186046511628,0.3,0.11,0.11903344839900012,0.3,0.02
6,0.5114883720930232,0.58,0.13,0.12654842677459033,0.44,0.02
7,0.5845581395348837,0.58,0.15,0.13372217593143673,0.58,0.03
8,0.6576279069767442,0.64,0.21,0.16627782406856326,0.61,0.03
9,0.7306976744186047,0.64,0.29,0.20172201722017222,0.62,0.03
10,0.8037674418604651,0.84,0.34,0.24206642066420667,0.75,0.03
11,0.8768372093023256,0.84,0.43,0.2851525612030314,0.87,0.04
12,0.9499069767441861,0.84,0.52,0.3052811173273023,0.98,0.04
13,1.018853713428357,1.26,0.56,0.32275919533388886,1.07,0.04
14,1.0878004501125282,1.26,0.62,0.342693330159108,1.14,0.06
15,1.1567471867966992,1.36,0.71,0.3765742173550768,1.15,0.09
16,1.2256939234808701,1.45,0.82,0.4213784073324604,1.15,0.12
17,1.2946406601650413,1.59,0.95,0.4959727016625005,1.17,0.14
18,1.3635873968492123,1.77,1.07,0.5360591993016705,1.21,0.18
19,1.4325341335333834,2.0,1.19,0.6320438043090109,1.25,0.18
20,1.5094118529632408,2.0,1.24,0.644966869023529,1.29,0.18
21,1.5862895723930983,2.0,1.31,0.6538150220211879,1.32,0.23
22,1.6631672918229559,2.69,1.42,0.7238701741856128,1.32,0.28
23,1.740045011252813,2.79,1.54,0.8076697218585088,1.32,0.35
24,1.8169227306826705,3.07,1.68,0.896944808157759,1.33,0.4
25,1.893800450112528,3.33,1.82,0.9552592945284292,1.38,0.46
26,1.9706781695423856,3.67,1.94,1.0071459746855533,1.44,0.46
27,2.1814853713428355,3.67,2.01,1.0197952624687538,1.5,0.46
28,2.392292573143286,3.67,2.11,1.1196444867674482,1.56,0.52
29,2.603099774943736,3.67,2.22,1.2201920406300837,1.56,0.55
30,2.8139069767441858,4.7,2.35,1.4095702892512796,1.56,0.59
31,3.0247141785446363,4.94,2.5,1.6204816886878546,1.62,0.61
32,3.2355213803450864,5.25,2.65,1.8257945482680633,1.68,0.65
33,3.4463285821455365,5.71,2.78,2.009542514779987,1.74,0.65
34,4.266789197299325,6.14,2.87,2.029599650835218,1.82,0.65
35,4.6024621155288825,6.53,3.01,2.1495893346030233,1.91,0.7
36,5.035602400600149,6.8,3.13,2.3708407729238585,1.93,0.75
37,5.518649662415604,7.04,3.28,2.6597984366940444,1.93,0.79
38,6.037066766691672,7.37,3.46,2.9533309526643654,2.0,0.83
39,6.485305326331583,7.83,3.64,3.2679085823116294,2.09,0.87
40,6.773896474118529,8.34,3.79,3.2869737729635364,2.18,0.87
41,7.0869362340585145,8.84,3.87,3.3455620362655236,2.27,0.87
42,7.607449362340585,9.31,4.01,3.3500337261437134,2.36,0.95
43,8.157965491372842,9.63,4.11,3.3923858270840777,2.37,1.02
44,8.777042760690172,9.8,4.27,3.651684323294846,2.38,1.1
45,9.497326331582896,10.13,4.42,3.9524858151807325,2.45,1.18
46,10.237030757689421,10.53,4.64,4.275328333928501,2.53,1.26
47,10.568714178544635,11.01,4.81,4.518771574812522,2.63,1.26
48,10.991407351837958,11.67,4.9,4.628687061064159,2.81,1.26
49,11.46067966991748,12.32,5.05,4.6752450105146215,3.01,1.34
50,11.932858214553638,12.68,5.19,4.898944570090862,3.07,1.38
51,12.55729632408102,12.92,5.34,5.140943538467643,3.08,1.42
52,13.29238109527382,13.39,5.54,5.39485378724755,3.32,1.47
53,14.206124531132783,13.87,5.78,5.63653930087688,3.57,1.47
54,14.689536384096025,14.48,5.97,5.850724120144427,3.83,1.47
55,15.219071267816956,15.14,6.08,5.9394199103281355,4.12,1.53
